"musicshow","id_artist","data"
"inkigayo","534","2014-11-16"
"theshow","608","2014-11-18"
"showchampion","16","2014-11-19"
"countdown","123","2014-11-20"
"musicbank","123","2014-11-21"
"musiccore","123","2014-11-22"
"inkigayo","85","2014-11-23"
"theshow","90","2014-11-25"
"showchampion","123","2014-11-26"
"countdown","123","2014-11-27"
"musicbank","609","2014-11-28"
"musiccore","609","2014-11-29"
"inkigayo","73","2014-11-30"
"theshow","18","2014-12-02"
"musicbank","18","2014-12-05"
"musiccore","18","2014-12-06"
"inkigayo","18","2014-12-07"
"theshow","18","2014-12-09"
"musicbank","18","2014-12-12"
"musiccore","18","2014-12-13"
"inkigayo","18","2014-12-14"
"theshow","18","2014-12-16"
"countdown","18","2014-12-18"
"musicbank","18","2014-12-19"
"musiccore","18","2014-12-20"
"countdown","18","2014-12-25"
"musicbank","18","2014-12-26"
"inkigayo","18","2014-12-28"
"musicbank","61","2015-01-02"
"musiccore","18","2015-01-03"
"inkigayo","73","2015-01-04"
"countdown","60","2015-01-08"
"musicbank","60","2015-01-09"
"musiccore","18","2015-01-10"
"inkigayo","60","2015-01-11"
"theshow","60","2015-01-13"
"countdown","60","2015-01-15"
"musicbank","60","2015-01-16"
"musiccore","109","2015-01-17"
"inkigayo","109","2015-01-18"
"theshow","109","2015-01-20"
"showchampion","109","2015-01-21"
"countdown","109","2015-01-22"
"musicbank","109","2015-01-23"
"musiccore","109","2015-01-24"
"inkigayo","137","2015-01-25"
"theshow","109","2015-01-27"
"showchampion","137","2015-01-28"
"countdown","137","2015-01-29"
"musiccore","53","2015-01-31"
"theshow","97","2015-02-03"
"countdown","53","2015-02-05"
"musicbank","53","2015-02-06"
"musiccore","97","2015-02-07"
"inkigayo","97","2015-02-08"
"theshow","97","2015-02-10"
"countdown","97","2015-02-12"
"inkigayo","378","2015-02-15"
"theshow","210","2015-02-17"
"showchampion","7","2015-02-18"
"countdown","7","2015-02-19"
"musicbank","378","2015-02-20"
"musiccore","7","2015-02-21"
"inkigayo","7","2015-02-22"
"showchampion","7","2015-02-25"
"countdown","7","2015-02-26"
"inkigayo","7","2015-03-01"
"theshow","215","2015-03-03"
"showchampion","215","2015-03-04"
"countdown","215","2015-03-05"
"musicbank","215","2015-03-06"
"musiccore","215","2015-03-07"
"inkigayo","215","2015-03-08"
"theshow","215","2015-03-10"
"showchampion","173","2015-03-11"
"countdown","173","2015-03-12"
"musicbank","173","2015-03-13"
"musiccore","173","2015-03-14"
"inkigayo","173","2015-03-15"
"theshow","215","2015-03-17"
"showchampion","173","2015-03-18"
"countdown","173","2015-03-19"
"musicbank","190","2015-03-20"
"musiccore","173","2015-03-21"
"inkigayo","173","2015-03-22"
"theshow","34","2015-03-24"
"showchampion","141","2015-03-25"
"countdown","173","2015-03-26"
"musicbank","165","2015-03-27"
"inkigayo","165","2015-03-29"
"theshow","165","2015-03-31"
"showchampion","165","2015-04-01"
"countdown","165","2015-04-02"
"musicbank","67","2015-04-03"
"musiccore","165","2015-04-04"
"inkigayo","61","2015-04-05"
"theshow","67","2015-04-07"
"showchampion","61","2015-04-08"
"countdown","61","2015-04-08"
"musicbank","61","2015-04-10"
"musiccore","61","2015-04-11"
"inkigayo","61","2015-04-12"
