"id","id_parent","nome","vtype","vlink","id_artist","publishedon","views","likes","dislikes","lastupdate","recentviews","recentlikes","promoted","dead","promotedviews"
"2353","0","Lip & Hip","main","vcqImqOVE2U","93","2017-12-04","43486550","733853","35172","2020-05-03 02:58:02","11165","216","n","n","0"
"2354","0","Gang","main","xqFvYsy4wE4","259","2017-12-01","6913060","57557","14754","2020-05-03 04:14:02","24068","119","n","n","0"
"2355","0","Glass Shoes","main","n2TtQYuFfWw","279","2017-11-29","7026547","123326","16022","2020-05-03 14:04:01","2155","44","n","n","0"
"2356","0","Here we are","main","-59nK36Z_rQ","190","2017-11-28","905161","38819","283","2020-04-30 22:56:01","122","8","n","n","0"
"2357","0","You in me","main","t1aGbpn-NUI","113","2017-11-21","9333700","380404","2747","2020-05-03 17:33:01","1613","47","n","n","0"
"2358","2357","You in Me","alternate","vvKkaCkWjvY","113","2017-11-27","3394769","111882","680","2020-05-03 17:34:01","151","0","n","n","0"
"2359","2357","You on me","dance","5PBPAzUUdMA","113","2017-11-27","263878","24875","97","2020-04-30 22:58:02","12","1","n","n","0"
"2360","2357","You in me","alternate","rhFqSCJ3sS4","113","2017-11-22","352265","32948","107","2020-04-30 22:57:02","14","1","n","n","0"
"2361","2351","MIC Drop","duplicate","TxyHwwYe86Q","40","2017-11-24","5155336","381736","3130","2020-05-03 17:34:01","499","19","n","n","0"
"2362","0","Reboot","main","wLSBXJiyK9U","207","2017-11-23","3218430","26544","650","2020-05-03 14:08:01","420","2","n","n","0"
"2363","2351","Mic Drop (Steve Aoki remix)","alternate","kTlv5_Bs8aw","40","2017-11-24","654335192","9394014","256542","2020-05-04 00:04:01","531828","8101","n","n","0"
"2364","2339","DDD (selfie)","alternate","n6ZtvlPMLkw","60","2017-11-23","557935","20676","178","2020-04-30 22:58:02","39","1","n","n","0"
"2365","4536","Runaway","duplicate","vxpRxiNM2sQ","280","2017-11-22","8063369","282001","1552","2020-05-03 14:09:02","2834","76","n","n","0"
"2366","0","Pretty Pretty","main","1Ggyu3ZTFvA","280","2017-01-22","3749879","125477","1114","2020-05-03 17:34:01","788","33","n","n","0"
"2367","4557","Violet","duplicate","nzdDUg5R_IQ","280","2017-11-23","761765","48425","212","2020-04-30 22:59:01","294","9","n","n","0"
"2368","0","Yes No Maybe","main","b34ri3-uxks","281","2017-01-23","6851530","143747","10206","2020-05-03 17:35:01","959","29","n","n","0"
"2369","2368","Yes No Maybe","alternate","9-K5gDJlTVk","281","2017-01-27","1008848","16688","1148","2020-05-03 21:26:02","143","3","n","n","0"
"2370","0","Because I love you","main","LprrdaruthY","281","2017-12-07","546842","13763","207","2020-04-30 22:59:01","172","4","n","n","0"
"2371","0","Heart Shaker","main","rRzxEiBLQCA","208","2017-12-11","317985043","2297176","185751","2020-05-04 00:42:01","120764","1136","n","n","0"
"2372","0","Hello","main","VQ03WpqlpCI","262","2017-12-11","1805387","21535","221","2020-05-03 17:35:01","906","20","n","n","0"
"2373","0","Snow","main","fiGSDywrX1Y","226","2017-12-04","7398775","88452","2058","2020-05-03 14:08:01","646","16","n","n","0"
"2374","2376","The Night","duplicate","wJ7ffCNtCKE","178","2017-12-13","471383","17849","151","2020-04-30 23:00:02","80","2","n","n","0"
"2375","0","This Christmas","main","hsh54g9JmC0","200","2017-12-12","10063956","281709","6410","2020-05-03 14:09:02","718","3","n","n","0"
"2376","0","The Night","main","1GqJeRPXxSs","178","2017-12-13","1329122","30740","417","2020-05-03 17:36:01","437","0","n","n","0"
"2377","0","Hands Up (Japanese)","main","-jrOg3FgTI0","22","2017-12-13","193509","10274","43","2020-04-30 23:01:02","34","1","n","n","0"
"2378","0","Hands Up","main","Cd8UxUlqaZ8","22","2017-12-13","6311590","261724","1355","2020-05-03 17:36:01","2379","73","n","n","0"
"2379","0","Would be Better","main","mDOhKtAgKZw","231","2017-12-14","1667196","17597","271","2020-05-03 17:36:01","1625","30","n","n","0"
"2380","0","Lonely Christmas","main","bUMWiiOlee4","143","2017-12-18","861367","68077","128","2020-04-30 23:04:01","161","7","n","n","0"
"2381","0","Pink Label","main","8IDrpXUAjpU","282","2017-12-17","1707856","37466","1130","2020-05-03 17:37:01","1239","9","n","n","0"
"2382","0","Chocolate Cream","main","HfySji7kNi0","282","2016-07-19","10687465","105597","7473","2020-05-03 17:37:01","9244","65","n","n","0"
"2383","0","Party Tonight","main","GVPMpu5_QpQ","282","2017-01-16","2154670","21474","1104","2020-05-03 14:11:02","1156","10","n","n","0"
"2384","0","Boy","main","yuk0LHFSlR8","283","2017-12-06","9947119","187145","2136","2020-05-03 17:37:01","2439","73","n","n","0"
"2385","2384","Boy","alternate","UdiHqDgHP1Q","283","2017-12-18","2044604","18352","161","2020-05-03 17:39:02","56","0","n","n","0"
"2386","0","Spring Watch","main","m64kBtKgt_o","88","2017-12-20","480403","2783","75","2020-04-30 23:06:01","95","1","n","n","0"
"2387","0","Merry & Happy","main","zi_6oaQyckM","208","2017-12-21","33970335","609256","30262","2020-05-03 03:31:01","11639","214","n","n","0"
"2388","0","Jazzclub","main","xP-DFPuODcM","33","2017-12-24","1915863","65046","887","2020-05-03 17:38:01","370","4","n","n","0"
"2389","0","Universe","main","leu-cTvMWTA","61","2017-12-26","42208398","1433067","25183","2020-05-03 03:01:02","16567","410","n","n","0"
"2390","0","You don't go","main","GBA0wE7qgWk","190","2017-12-26","630027","24583","92","2020-04-30 23:05:01","143","5","n","n","0"
"2391","0","Parade","main","7bPffIZot10","262","2017-12-27","2364926","44580","499","2020-05-03 14:12:02","3040","97","n","n","0"
"2392","0","Hold Me","main","HadTXRCsxu0","58","2017-12-27","2501642","53829","327","2020-05-03 14:14:01","737","11","n","n","0"
"2393","0","Love Yourself - Her 'Serendipity'","main","BEMaH9Sm3lQ","40","2017-09-04","133542196","3878735","54237","2020-05-03 01:42:01","45509","2136","n","n","0"
"2394","0","Grown-up","main","qteyV_ccPZc","178","2018-01-01","213078","8552","87","2020-04-30 23:07:01","30","1","n","n","0"
"2395","0","BBoom BBoom","main","JQGRg8XBnB4","267","2018-01-03","422715390","2952324","253480","2020-05-04 00:12:02","226836","2135","n","n","0"
"2396","0","Paint Me","main","20sOM7AlU3Y","138","2018-01-04","3083155","153422","1060","2020-05-03 17:39:02","1926","68","n","n","0"
"2397","0","Foresight Dream","main","QhlXp6S2re8","262","2018-01-03","382085","8261","88","2020-04-30 23:07:01","88","2","n","n","0"
"2398","0","I'm all ears","main","PcYhtiJneHg","200","2018-01-12","3101791","141879","1209","2020-05-03 17:40:02","741","11","n","n","0"
"2399","0","Don't Leave","main","j0FrZ40fPiA","32","2018-01-08","5400811","164051","1081","2020-05-03 17:40:02","2132","25","n","n","0"
"2400","0","Tell Me","main","3tLdDh86EyQ","96","2018-01-08","1313710","85865","577","2020-05-03 14:15:01","584","23","n","n","0"
"2401","2437","Secret Garden","duplicate","Lznx5A7fNto","152","2018-01-09","1156346","0","0","2020-05-03 21:33:02","6077","0","n","n","0"
