,Song Title,Artist,Type of Artist,Likes,Likes Ratio,MV Views,Days Old,Years Old,Likes/MV,Sales,Total Views
918,Scream,Dreamcatcher,female group,"423,901",99.4%," 15,017,097",85 days,0.2328767123287671,"124,868","184,953","122,927,163"
919,Good Night,Dreamcatcher,female group,"311,935",99.3%,"10,939,826",1.134 days,3.106849315068493,"124,868","184,953","122,927,163"
920,Chase Me,Dreamcatcher,female group,"299,428",99.0%,"11,006,210",1.217 days,3.334246575342466,"124,868","184,953","122,927,163"
921,WOW,BTOB,male group,"461,837",98.3%,"40,987,266",2.801 days,7.673972602739726,"146,504","784,148","318,193,381"
922,I'll be your man,BTOB,male group,"430,173",99.3%,"23,398,629",1.284 days,3.5178082191780824,"146,504","784,148","318,193,381"
923,Missing You,BTOB,male group,"343,926",99.3%,"17,963,822",940 days,2.5753424657534247,"146,504","784,148","318,193,381"
924,Call you Bae,Jimin,female soloist,"460,822",97.4%,"33,638,629",1.533 days,4.2,"340,535",0,"42,871,470"
925,Dejavu,NU'ESTW,male group,"460,028",99.4%,"14,401,154",688 days,1.884931506849315,"187,686","771,263","51,305,988"
926,Where you At,NU'ESTW,male group,"388,700",98.9%,"12,566,943",946 days,2.591780821917808,"187,686","771,263","51,305,988"
927,Chained up,VIXX,male group,"453,416",99.1%,"27,033,156",1.647 days,4.512328767123288,"149,263","1,244,089","121,163,530"
928,Scentist,VIXX,male group,"359,606",99.4%,"12,398,055",757 days,2.073972602739726,"149,263","1,244,089","121,163,530"
929,Fantasy,VIXX,male group,"291,275",99.3%,"11,301,765",1.368 days,3.747945205479452,"149,263","1,244,089","121,163,530"
930,Overdose,EXO-M,male group,"447,401",98.0%,"27,558,336",2.199 days,6.024657534246575,"256,683","450,198","74,889,863"
931,Mama,EXO-M,male group,"291,512",97.6%,"22,781,706",2.958 days,8.104109589041096,"256,683","450,198","74,889,863"
932,Starlight,Taeyeon+DEAN,coed group,"445,657",96.9%,"40,733,820",1.419 days,3.8876712328767122,"445,657",0,"40,733,820"
933,Rooftop,N.Flying,male group,"438,240",98.8%,"24,135,914",497 days,1.3616438356164384,"62,864","107,075","44,632,560"
934,Eclipse,MoonByul,female soloist,"428,218",99.6%,"4,627,385",89 days,0.24383561643835616,"142,086","72,849","10,322,896"
935,No Air,TheBoyz,male group,"426,709",99.4%,"22,812,546",531 days,1.4547945205479451,"43,105","638,953","136,419,351"
936,Wee Woo,Pristin,female group,"426,190",93.5%,"34,688,097",1.149 days,3.147945205479452,"156,785","70,576","58,662,759"
937,One Shot,B.A.P,male group,"425,464",98.3%,"34,083,872",2.648 days,7.254794520547946,"113,787","818,075","214,068,980"
938,Dally,Hyolyn,female soloist,"421,298",97.5%,"16,412,594",751 days,2.0575342465753423,"106,189","13,181","125,336,750"
939,Call Anytime,JINU,male group,"416,833",99.4%,"12,120,771",273 days,0.7479452054794521,"183,988","51,356","13,574,348"
940,Say Yes,Loco+Punch,coed group,"414,049",98.5%,"68,276,335",1.354 days,3.7095890410958905,"414,049",0,"68,276,335"
941,Begin Again,KimJaehwan,male soloist,"407,127",99.5%,"7,642,044",359 days,0.9835616438356164,"169,305","170,484","8,687,454"
942,Face,Woosung,male group,"406,595",99.7%,"9,209,258",293 days,0.8027397260273973,"352,335","5,998","12,838,549"
943,Face,Woosung,male group,"298,074",99.7%,"3,629,291",293 days,0.8027397260273973,"352,335","5,998","12,838,549"
944,Under Cover,A.C.E,male group,"403,187",99.6%,"10,021,905",363 days,0.9945205479452055,"173,634","87,625","36,992,370"
945,Savage,A.C.E,male group,"368,492",99.6%,"9,631,797",197 days,0.5397260273972603,"173,634","87,625","36,992,370"
946,Cactus,A.C.E,male group,"335,556",99.6%,"6,249,029",1.087 days,2.978082191780822,"173,634","87,625","36,992,370"
947,Sugar Free,T-Ara,female group,"395,129",97.3%,"53,247,310",2.072 days,5.676712328767123,"110,307","589,355","497,691,194"
948,Number Nine,T-Ara,female group,"383,119",95.7%,"66,427,962",2.408 days,6.597260273972603,"110,307","589,355","497,691,194"
949,Sexy Love,T-Ara,female group,"294,841",88.1%,"59,664,550",2.810 days,7.698630136986301,"110,307","589,355","497,691,194"
950,Beautiful,Crush,male soloist,"392,540",98.1%,"82,968,198",1.244 days,3.408219178082192,"72,609","28,576","192,617,274"
951,Bingle Bangle,AOA,female group,"390,538",95.4%,"26,493,159",716 days,1.9616438356164383,"89,228","223,475","627,651,427"
952,Heart Attack,AOA,female group,"375,878",95.0%,"63,032,140",1.788 days,4.898630136986301,"89,228","223,475","627,651,427"
953,Miniskirt,AOA,female group,"361,470",95.4%,"80,428,297",2.310 days,6.328767123287672,"89,228","223,475","627,651,427"
954,Like a Cat,AOA,female group,"342,991",96.5%,"54,373,575",2.011 days,5.50958904109589,"89,228","223,475","627,651,427"
955,Good Luck,AOA,female group,"304,596",93.6%,"38,453,532",1.459 days,3.9972602739726026,"89,228","223,475","627,651,427"
956,Take a hike,Jiyeon,female group,"389,455",99.4%,"6,570,229",139 days,0.38082191780821917,"104,698","15,639","12,685,167"
957,Give me more,VAV,male group,"386,837",99.2%,"28,359,197",295 days,0.8082191780821918,"80,464","20,150","98,882,066"
958,Way Back Home(alternate),Shaun,male soloist,"380,125",99.2%,"14,580,754",667 days,1.8273972602739725,"75,034",0,"32,342,035"
959,heart sign,OngSeongwu,male soloist,"377,869",99.6%,"11,292,766",337 days,0.9232876712328767,"174,651","70,106","19,376,012"
960,I Just wanna dance,Tiffany,female soloist,"368,032",91.8%,"26,136,683",1.464 days,4.010958904109589,"290,540","10,564","40,998,276"
961,Jelly,Soyeon,female soloist,"364,206",97.1%,"9,620,462",920 days,2.5205479452054793,"137,607",0,"15,119,393"
962,Danger,SuperJuniorD&E,male group,"357,428",99.3%,"5,667,891",395 days,1.082191780821918,"113,251","318,297","45,777,493"
963,Get It,PristinV,female group,"354,428",98.6%,"22,182,497",716 days,1.9616438356164383,"240,009","18,301","35,019,751"
964,Bar Bar Bar,CrayonPop,female group,"343,021",87.0%,"58,055,449",2.516 days,6.8931506849315065,"97,885","41,840","117,951,590"
965,Picky Picky,WekiMeki,female group,"341,834",98.6%,"9,093,922",365 days,1.0,"142,793","133,655","50,446,212"
966,Crush,WekiMeki,female group,"331,650",98.4%,"11,933,913",580 days,1.5890410958904109,"142,793","133,655","50,446,212"
967,Universe,Minhyun,male soloist,"329,460",99.6%,"5,715,779",406 days,1.1123287671232878,"329,460",0,"5,715,779"
968,We are in love,T-ara+Davichi,female group,"327,497",97.8%,"56,815,469",3.066 days,8.4,"327,497",0,"56,815,469"
969,Don't Say No,Seohyun,female soloist,"326,350",96.2%,"16,299,795",1.213 days,3.3232876712328765,"197,239","33,369","19,420,456"
970,Summer night,Yoona,female soloist,"325,287",98.7%,"4,659,742",349 days,0.9561643835616438,"176,388","53,051","19,038,345"
971,Only One,BoA,female soloist,"325,152",97.5%,"46,337,066",2.853 days,7.816438356164384,"82,976","2,205,607","171,137,022"
972,Break Down,SuperJunior-M,male group,"324,136",97.0%,"37,704,027",2.684 days,7.353424657534247,"243,706","181,492","76,408,449"
973,Into You,Yuri,female soloist,"317,800",98.9%,"7,383,520",587 days,1.6082191780821917,"170,525","17,290","11,177,449"
974,Start,Gaho,male soloist,"311,008",99.1%,"24,263,824",102 days,0.27945205479452057,"72,327",0,"31,595,761"
975,Mystery,Hyoyeon,female soloist,"302,013",97.5%,"9,772,328",1.259 days,3.4493150684931506,"178,622",0,"22,276,629"
976,Flower way,Sejeong,female soloist,"298,710",98.9%,"23,331,151",1.268 days,3.473972602739726,"100,642","10,174","38,339,014"
977,Something(alternate),Girl'sDay,female group,"296,860",98.2%,"25,997,025",2.309 days,6.326027397260274,"97,629","142,697","415,987,810"
978,Catallena,OrangeCaramel,female group,"296,533",97.0%,"28,217,500",2.255 days,6.178082191780822,"124,599","48,532","102,412,796"
979,NONSTOP,OhMyGirl,female group,"291,756",97.6%," 25,081,215",16 days,0.043835616438356165,"75,589","240,365","180,850,454"
