,Song Title,Artist,Type of Artist,Likes,Likes Ratio,MV Views,Days Old,Years Old,Likes/MV,Sales,Total Views
93,I need you,BTS,male group,"433,557",99.4%,"10,367,557",1.841 days,5.043835616438356,"2,400,603","21,047,066","11,914,564,663"
94,I need U,BTS,male group,"429,012",99.3%,"15,607,144",1.830 days,5.013698630136986,"2,400,603","21,047,066","11,914,564,663"
95,No More Dream(dance),BTS,male group,"415,450",99.5%,"17,168,229",2.519 days,6.901369863013699,"2,400,603","21,047,066","11,914,564,663"
96,We Are Bulletproof pt2(dance),BTS,male group,"392,170",99.6%,"16,604,566",2.483 days,6.802739726027397,"2,400,603","21,047,066","11,914,564,663"
97,Dope(dance),BTS,male group,"391,204",99.5%,"16,588,984",1.781 days,4.879452054794521,"2,400,603","21,047,066","11,914,564,663"
98,MIC Drop,BTS,male group,"381,932",99.2%,"5,160,399",901 days,2.4684931506849317,"2,400,603","21,047,066","11,914,564,663"
99,Boy in Luv(alternate),BTS,male group,"381,313",99.4%,"12,655,897",2.274 days,6.23013698630137,"2,400,603","21,047,066","11,914,564,663"
100,School Tears,BTS,male group,"379,981",99.7%,"4,202,087",2.670 days,7.315068493150685,"2,400,603","21,047,066","11,914,564,663"
101,Beautiful(dance),BTS,male group,"360,574",99.6%,"13,460,632",2.169 days,5.942465753424657,"2,400,603","21,047,066","11,914,564,663"
102,No More Dream,BTS,male group,"304,062",99.0%,"13,247,167",2.528 days,6.926027397260274,"2,400,603","21,047,066","11,914,564,663"
103,Kill this Love,Blackpink,female group,"12,920,236",93.9%,"826,027,265",405 days,1.1095890410958904,"3,495,869","652,585","6,236,964,281"
104,Ddu-du Ddu-du,Blackpink,female group,"12,544,634",94.5%,"1,144,730,047",698 days,1.9123287671232876,"3,495,869","652,585","6,236,964,281"
105,Boombayah,Blackpink,female group,"7,561,192",95.3%,"849,999,809",1.374 days,3.7643835616438355,"3,495,869","652,585","6,236,964,281"
106,As if it's your last,Blackpink,female group,"6,786,263",95.8%,"783,257,947",1.056 days,2.893150684931507,"3,495,869","652,585","6,236,964,281"
107,Whistle,Blackpink,female group,"4,510,484",96.3%,"485,082,955",1.374 days,3.7643835616438355,"3,495,869","652,585","6,236,964,281"
108,Playing with fire,Blackpink,female group,"4,234,343",96.5%,"502,040,634",1.290 days,3.5342465753424657,"3,495,869","652,585","6,236,964,281"
109,Kill this Love(dance),Blackpink,female group,"3,694,002",96.7%,"247,195,272",401 days,1.0986301369863014,"3,495,869","652,585","6,236,964,281"
110,Ddu-du Ddu-du(dance),Blackpink,female group,"3,403,644",97.0%,"299,040,614",696 days,1.906849315068493,"3,495,869","652,585","6,236,964,281"
111,Stay,Blackpink,female group,"2,878,193",97.4%,"202,543,522",1.290 days,3.5342465753424657,"3,495,869","652,585","6,236,964,281"
112,Forever Young (dance only)(dance),Blackpink,female group,"2,173,964",97.8%,"135,649,184",693 days,1.8986301369863015,"3,495,869","652,585","6,236,964,281"
113,Don't know what to do (Dance only)(dance),Blackpink,female group,"2,116,652",97.7%,"131,504,256",394 days,1.0794520547945206,"3,495,869","652,585","6,236,964,281"
114,As if it's your last(dance),Blackpink,female group,"1,696,626",97.7%,"174,347,660",1.054 days,2.8876712328767122,"3,495,869","652,585","6,236,964,281"
115,Boombayah(dance),Blackpink,female group,"1,641,571",97.2%,"177,305,169",1.362 days,3.7315068493150685,"3,495,869","652,585","6,236,964,281"
116,Playing with fire(dance),Blackpink,female group,"1,331,034",97.9%,"141,402,002",1.287 days,3.526027397260274,"3,495,869","652,585","6,236,964,281"
117,Whistle(dance),Blackpink,female group,"1,181,001",98.0%,"113,863,047",1.364 days,3.736986301369863,"3,495,869","652,585","6,236,964,281"
118,Ddu-du Ddu-du (jp),Blackpink,female group,"538,146",97.6%,"8,039,810",635 days,1.7397260273972603,"3,495,869","652,585","6,236,964,281"
119,Solo,Jennie,female soloist,"7,102,016",95.8%,"454,134,738",548 days,1.5013698630136987,"3,394,164","57,853","630,617,130"
120,Solo(dance),Jennie,female soloist,"2,580,004",96.9%,"165,433,487",545 days,1.4931506849315068,"3,394,164","57,853","630,617,130"
121,Solo,Jennie,female soloist,"500,471",98.0%,"11,048,905",537 days,1.4712328767123288,"3,394,164","57,853","630,617,130"
122,Chicken Noodle Soup,J-Hope,male soloist,"6,734,144",96.6%,"158,424,339",229 days,0.6273972602739726,"4,789,133",0,"318,450,641"
123,Daydream,J-Hope,male soloist,"4,793,800",98.8%,"115,488,387",804 days,2.202739726027397,"4,789,133",0,"318,450,641"
124,Airplane,J-Hope,male soloist,"2,839,456",99.3%,"44,537,915",799 days,2.1890410958904107,"4,789,133",0,"318,450,641"
125,Love Shot,EXO,male group,"4,686,152",98.0%,"264,135,404",517 days,1.4164383561643836,"1,285,821","10,273,845","2,690,343,428"
126,Monster,EXO,male group,"4,028,644",97.0%,"325,743,194",1.435 days,3.9315068493150687,"1,285,821","10,273,845","2,690,343,428"
127,Ko Ko Bop,EXO,male group,"3,771,108",96.2%,"263,552,716",1.030 days,2.8219178082191783,"1,285,821","10,273,845","2,690,343,428"
128,Tempo,EXO,male group,"3,733,382",97.0%,"159,377,815",558 days,1.5287671232876712,"1,285,821","10,273,845","2,690,343,428"
129,Obsession,EXO,male group,"3,304,626",97.3%,"83,512,844",168 days,0.4602739726027397,"1,285,821","10,273,845","2,690,343,428"
130,Call me Baby,EXO,male group,"2,763,169",97.1%,"259,391,815",1.871 days,5.126027397260274,"1,285,821","10,273,845","2,690,343,428"
131,Power,EXO,male group,"2,137,901",95.0%,"80,207,709",981 days,2.6876712328767125,"1,285,821","10,273,845","2,690,343,428"
132,Growl,EXO,male group,"2,137,337",97.2%,"226,732,347",2.478 days,6.789041095890411,"1,285,821","10,273,845","2,690,343,428"
133,Lotto,EXO,male group,"2,075,014",97.3%,"137,104,083",1.365 days,3.73972602739726,"1,285,821","10,273,845","2,690,343,428"
134,The Eve(dance),EXO,male group,"1,653,383",98.7%,"104,422,214",1.014 days,2.778082191780822,"1,285,821","10,273,845","2,690,343,428"
135,Love me right,EXO,male group,"1,601,616",97.4%,"118,858,141",1.807 days,4.950684931506849,"1,285,821","10,273,845","2,690,343,428"
136,Wolf,EXO,male group,"1,495,016",96.8%,"139,614,587",2.540 days,6.958904109589041,"1,285,821","10,273,845","2,690,343,428"
137,Universe,EXO,male group,"1,438,258",98.3%,"42,395,115",869 days,2.3808219178082193,"1,285,821","10,273,845","2,690,343,428"
138,Electric Kiss (jp),EXO,male group,"1,112,722",98.4%,"25,613,016",890 days,2.4383561643835616,"1,285,821","10,273,845","2,690,343,428"
139,Monster(dance),EXO,male group,"1,096,930",98.7%,"62,195,522",1.413 days,3.871232876712329,"1,285,821","10,273,845","2,690,343,428"
140,Lucky One,EXO,male group,"1,086,053",97.9%,"67,865,412",1.435 days,3.9315068493150687,"1,285,821","10,273,845","2,690,343,428"
141,Electric Kiss(dance),EXO,male group,"829,404",99.0%,"35,360,681",852 days,2.334246575342466,"1,285,821","10,273,845","2,690,343,428"
142,For Life,EXO,male group,"792,656",98.4%,"26,524,993",1.242 days,3.4027397260273973,"1,285,821","10,273,845","2,690,343,428"
143,Sing for you,EXO,male group,"770,400",98.4%,"37,119,673",1.617 days,4.4301369863013695,"1,285,821","10,273,845","2,690,343,428"
144,Obsession(dance),EXO,male group,"733,044",99.5%,"8,465,120",145 days,0.3972602739726027,"1,285,821","10,273,845","2,690,343,428"
145,Tempo (Chinese),EXO,male group,"711,273",98.8%,"7,074,697",558 days,1.5287671232876712,"1,285,821","10,273,845","2,690,343,428"
146,Love Shot (chinese),EXO,male group,"587,442",98.6%,"8,804,524",517 days,1.4164383561643836,"1,285,821","10,273,845","2,690,343,428"
147,Lightsaber,EXO,male group,"581,507",98.6%,"20,443,796",1.646 days,4.50958904109589,"1,285,821","10,273,845","2,690,343,428"
148,Growl(alternate),EXO,male group,"509,075",98.0%,"38,469,838",2.458 days,6.734246575342466,"1,285,821","10,273,845","2,690,343,428"
149,Call me Baby,EXO,male group,"467,379",98.0%,"23,844,046",1.871 days,5.126027397260274,"1,285,821","10,273,845","2,690,343,428"
150,Ko Ko Bop (Chinese version),EXO,male group,"428,899",97.7%,"7,036,392",1.030 days,2.8219178082191783,"1,285,821","10,273,845","2,690,343,428"
151,Love me right(dance),EXO,male group,"427,274",98.8%,"21,803,848",1.755 days,4.808219178082192,"1,285,821","10,273,845","2,690,343,428"
152,Growl(dance),EXO,male group,"422,687",98.4%,"38,866,844",2.466 days,6.756164383561644,"1,285,821","10,273,845","2,690,343,428"
153,Monster(alternate),EXO,male group,"410,704",99.1%,"11,600,006",1.428 days,3.9123287671232876,"1,285,821","10,273,845","2,690,343,428"
154,Coming Over (jp),EXO,male group,"378,039",99.2%,"8,445,662",1.273 days,3.4876712328767123,"1,285,821","10,273,845","2,690,343,428"
155,Love Scenario,iKON,male group,"4,476,977",98.2%,"390,512,501",839 days,2.2986301369863016,"724,163","636,243","1,209,980,464"
156,Killing me,iKON,male group,"2,743,410",98.8%,"160,061,868",650 days,1.7808219178082192,"724,163","636,243","1,209,980,464"
157,Love Scenario(dance),iKON,male group,"1,487,141",98.0%,"96,706,116",838 days,2.2958904109589042,"724,163","636,243","1,209,980,464"
158,I'm Ok,iKON,male group,"1,448,604",98.8%,"31,789,460",492 days,1.347945205479452,"724,163","636,243","1,209,980,464"
159,Dive,iKON,male group,"1,259,794",98.7%,"21,938,547",97 days,0.26575342465753427,"724,163","636,243","1,209,980,464"
160,Goodbye Road,iKON,male group,"1,248,771",99.1%,"50,272,077",590 days,1.6164383561643836,"724,163","636,243","1,209,980,464"
161,Bling Bling,iKON,male group,"1,115,557",98.3%,"55,181,679",1.087 days,2.978082191780822,"724,163","636,243","1,209,980,464"
162,Rhythm Ta,iKON,male group,"841,830",97.7%,"60,298,404",1.687 days,4.6219178082191785,"724,163","636,243","1,209,980,464"
163,Killing Me,iKON,male group,"762,143",99.4%,"24,726,045",650 days,1.7808219178082192,"724,163","636,243","1,209,980,464"
164,My Type,iKON,male group,"650,460",97.7%,"53,569,858",1.703 days,4.6657534246575345,"724,163","636,243","1,209,980,464"
165,B-Day,iKON,male group,"530,338",98.7%,"19,321,420",1.087 days,2.978082191780822,"724,163","636,243","1,209,980,464"
166,Dumb&Dumber,iKON,male group,"484,163",98.4%,"30,952,175",1.603 days,4.391780821917808,"724,163","636,243","1,209,980,464"
167,Apology,iKON,male group,"465,761",98.8%,"30,900,246",1.641 days,4.495890410958904,"724,163","636,243","1,209,980,464"
168,#WYD,iKON,male group,"449,714",98.6%,"24,809,786",1.445 days,3.958904109589041,"724,163","636,243","1,209,980,464"
169,Airplane,iKON,male group,"399,527",98.5%,"28,807,178",1.687 days,4.6219178082191785,"724,163","636,243","1,209,980,464"
170,Bling Bling(dance),iKON,male group,"361,777",99.2%,"18,201,292",1.084 days,2.96986301369863,"724,163","636,243","1,209,980,464"
171,Rhythm Ta(dance),iKON,male group,"312,913",98.7%,"24,353,475",1.681 days,4.605479452054794,"724,163","636,243","1,209,980,464"
172,Crown,TXT,male group,"4,258,315",96.5%,"108,359,478",436 days,1.1945205479452055,"1,005,244","454,947","312,217,778"
173,Cat & Dog,TXT,male group,"2,789,943",98.1%,"54,033,729",385 days,1.0547945205479452,"1,005,244","454,947","312,217,778"
174,Run Away,TXT,male group,"2,182,371",99.1%,"39,701,269",205 days,0.5616438356164384,"1,005,244","454,947","312,217,778"
175,Cat & Dog (english ver),TXT,male group,"1,209,075",98.4%,"9,874,983",376 days,1.0301369863013699,"1,005,244","454,947","312,217,778"
176,Crown(dance),TXT,male group,"1,152,900",98.4%,"14,706,581",423 days,1.158904109589041,"1,005,244","454,947","312,217,778"
177,Nap of a star,TXT,male group,"1,101,794",98.4%,"7,477,973",343 days,0.9397260273972603,"1,005,244","454,947","312,217,778"
178,Angel or devil,TXT,male group,"1,012,584",99.1%,"11,213,714",167 days,0.4575342465753425,"1,005,244","454,947","312,217,778"
179,Run Away (jp),TXT,male group,"864,766",98.9%,"10,493,391",120 days,0.3287671232876712,"1,005,244","454,947","312,217,778"
180,Crown(dance),TXT,male group,"799,634",99.2%,"12,045,079",430 days,1.178082191780822,"1,005,244","454,947","312,217,778"
181,Blue Orangeade,TXT,male group,"762,198",98.9%,"4,912,741",402 days,1.1013698630136985,"1,005,244","454,947","312,217,778"
182,Magic Island,TXT,male group,"639,317",99.4%,"3,599,139",178 days,0.4876712328767123,"1,005,244","454,947","312,217,778"
183,New rules (dance only),TXT,male group,"427,742",99.5%,"11,929,237",186 days,0.5095890410958904,"1,005,244","454,947","312,217,778"
184,Our Summer,TXT,male group,"398,107",99.7%,"4,484,987",306 days,0.8383561643835616,"1,005,244","454,947","312,217,778"
185,9 and 3 quarters (dance only)(dance),TXT,male group,"379,088",99.6%,"6,547,153",199 days,0.5452054794520548,"1,005,244","454,947","312,217,778"
186,Cat & Dog(dance),TXT,male group,"360,161",99.6%,"4,644,037",381 days,1.0438356164383562,"1,005,244","454,947","312,217,778"
187,BANG BANG BANG,BIGBANG,male group,"3,903,495",96.2%,"445,857,754",1.808 days,4.953424657534247,"562,084","3,257,798","3,117,209,397"
188,Fantastic Baby,BIGBANG,male group,"3,085,560",95.7%,"439,857,903",2.990 days,8.191780821917808,"562,084","3,257,798","3,117,209,397"
189,FXXK IT,BIGBANG,male group,"2,046,382",98.2%,"179,121,429",1.248 days,3.419178082191781,"562,084","3,257,798","3,117,209,397"
190,Loser,BIGBANG,male group,"1,615,466",97.7%,"201,748,971",1.840 days,5.041095890410959,"562,084","3,257,798","3,117,209,397"
191,Let's not fall in love,BIGBANG,male group,"1,425,765",98.4%,"175,670,024",1.744 days,4.778082191780822,"562,084","3,257,798","3,117,209,397"
192,Last Dance,BIGBANG,male group,"1,182,919",98.7%,"102,362,627",1.248 days,3.419178082191781,"562,084","3,257,798","3,117,209,397"
193,Sober,BIGBANG,male group,"1,099,499",98.2%,"125,086,013",1.779 days,4.873972602739726,"562,084","3,257,798","3,117,209,397"
194,Bae Bae,BIGBANG,male group,"997,770",96.9%,"124,967,614",1.840 days,5.041095890410959,"562,084","3,257,798","3,117,209,397"
195,BANG BANG BANG(dance),BIGBANG,male group,"990,259",97.8%,"115,273,982",1.805 days,4.945205479452055,"562,084","3,257,798","3,117,209,397"
196,Blue,BIGBANG,male group,"912,277",98.0%,"154,318,418",3.004 days,8.23013698630137,"562,084","3,257,798","3,117,209,397"
197,Bad Boy,BIGBANG,male group,"908,968",97.6%,"148,967,781",2.997 days,8.210958904109589,"562,084","3,257,798","3,117,209,397"
198,Haru Haru,BIGBANG,male group,"794,852",98.0%,"133,517,269",4.241 days,11.61917808219178,"562,084","3,257,798","3,117,209,397"
199,We like 2 Party,BIGBANG,male group,"775,962",98.5%,"82,642,141",1.805 days,4.945205479452055,"562,084","3,257,798","3,117,209,397"
200,Monster,BIGBANG,male group,"617,323",97.1%,"87,232,200",2.902 days,7.950684931506849,"562,084","3,257,798","3,117,209,397"
201,Tonight,BIGBANG,male group,"488,132",97.7%,"86,684,503",3.362 days,9.210958904109589,"562,084","3,257,798","3,117,209,397"
202,Love Song,BIGBANG,male group,"386,742",98.1%,"55,677,850",3.318 days,9.09041095890411,"562,084","3,257,798","3,117,209,397"
203,Lies,BIGBANG,male group,"297,273",98.0%,"60,455,841",4.241 days,11.61917808219178,"562,084","3,257,798","3,117,209,397"
204,Eight,IU,female soloist,"3,773,427",98.5%,"36,349,658",7 days,0.019178082191780823,"341,751","832,259","908,549,388"
205,BbiBbi,IU,female soloist,"2,150,447",97.4%,"147,341,059",581 days,1.5917808219178082,"341,751","832,259","908,549,388"
206,Palette,IU,female soloist,"1,328,308",97.3%,"138,676,534",1.118 days,3.063013698630137,"341,751","832,259","908,549,388"
207,Blueming,IU,female soloist,"1,201,121",98.8%,"47,106,388",177 days,0.4849315068493151,"341,751","832,259","908,549,388"
208,Bbi Bbi(dance),IU,female soloist,"870,979",98.4%,"23,177,417",556 days,1.5232876712328767,"341,751","832,259","908,549,388"
209,Twenty-Three,IU,female soloist,"667,062",95.6%,"83,292,254",1.665 days,4.561643835616438,"341,751","832,259","908,549,388"
210,Through the Night,IU,female soloist,"550,646",97.6%,"76,722,249",1.146 days,3.1397260273972605,"341,751","832,259","908,549,388"
211,Above the time,IU,female soloist,"456,308",99.2%,"12,279,710",177 days,0.4849315068493151,"341,751","832,259","908,549,388"
212,Ending Scene,IU,female soloist,"354,879",98.5%,"30,448,681",1.116 days,3.0575342465753423,"341,751","832,259","908,549,388"
213,Good day,IU,female soloist,"328,739",97.1%,"42,229,116",3.383 days,9.26849315068493,"341,751","832,259","908,549,388"
214,Blueming (Band version)(alternate),IU,female soloist,"299,982",99.2%,"10,886,106",166 days,0.4547945205479452,"341,751","832,259","908,549,388"
215,Fancy,Twice,female group,"3,649,485",94.5%,"296,378,462",387 days,1.0602739726027397,"951,944","4,572,592","5,119,889,077"
216,Likey,Twice,female group,"3,450,354",91.5%,"447,738,825",926 days,2.536986301369863,"951,944","4,572,592","5,119,889,077"
217,TT,Twice,female group,"3,334,707",89.2%,"517,884,345",1.298 days,3.5561643835616437,"951,944","4,572,592","5,119,889,077"
218,Feel Special,Twice,female group,"3,212,146",96.8%," 214,172,352",233 days,0.6383561643835617,"951,944","4,572,592","5,119,889,077"
219,What is Love?,Twice,female group,"3,161,555",93.4%,"386,259,932",765 days,2.095890410958904,"951,944","4,572,592","5,119,889,077"
220,Yes or Yes,Twice,female group,"2,673,770",93.6%,"241,982,729",555 days,1.5205479452054795,"951,944","4,572,592","5,119,889,077"
221,Dance the Night Away,Twice,female group,"2,474,831",93.2%,"224,593,241",674 days,1.8465753424657534,"951,944","4,572,592","5,119,889,077"
222,Cheer Up,Twice,female group,"2,346,807",90.8%,"385,522,714",1.480 days,4.054794520547945,"951,944","4,572,592","5,119,889,077"
223,Heart Shaker,Twice,female group,"2,311,072",92.5%,"319,429,635",884 days,2.421917808219178,"951,944","4,572,592","5,119,889,077"
224,Like Ohh-Ahh,Twice,female group,"2,150,527",92.1%,"354,811,999",1.668 days,4.5698630136986305,"951,944","4,572,592","5,119,889,077"
225,Signal,Twice,female group,"1,894,840",83.4%,"241,161,768",1.094 days,2.9972602739726026,"951,944","4,572,592","5,119,889,077"
226,Knock Knock,Twice,female group,"1,857,357",84.2%,"252,210,618",1.179 days,3.23013698630137,"951,944","4,572,592","5,119,889,077"
227,Breakthrough (jp),Twice,female group,"1,319,144",97.4%,"74,183,471",337 days,0.9232876712328767,"951,944","4,572,592","5,119,889,077"
228,Candy Pop (jp),Twice,female group,"1,132,650",94.1%,"115,514,024",853 days,2.336986301369863,"951,944","4,572,592","5,119,889,077"
229,Fake & True (jp),Twice,female group,"897,805",98.0%,"34,115,295",209 days,0.5726027397260274,"951,944","4,572,592","5,119,889,077"
230,BDZ (jp),Twice,female group,"863,679",95.6%,"49,144,251",636 days,1.7424657534246575,"951,944","4,572,592","5,119,889,077"
231,The Best Thing I Ever Did,Twice,female group,"818,829",97.3%,"35,824,233",518 days,1.4191780821917808,"951,944","4,572,592","5,119,889,077"
232,Fancy(dance),Twice,female group,"783,793",97.9%,"35,379,509",386 days,1.0575342465753426,"951,944","4,572,592","5,119,889,077"
233,Happy Happy (jp),Twice,female group,"783,338",97.7%,"36,283,422",337 days,0.9232876712328767,"951,944","4,572,592","5,119,889,077"
234,One More Time (jp),Twice,female group,"764,524",90.1%,"82,842,650",951 days,2.6054794520547944,"951,944","4,572,592","5,119,889,077"
235,Wake Me Up (jp),Twice,female group,"652,258",95.6%,"52,793,360",750 days,2.0547945205479454,"951,944","4,572,592","5,119,889,077"
236,Dance the Night Away(dance),Twice,female group,"635,947",97.0%,"38,075,340",671 days,1.8383561643835618,"951,944","4,572,592","5,119,889,077"
237,Merry & Happy,Twice,female group,"611,727",95.3%,"34,090,516",874 days,2.3945205479452056,"951,944","4,572,592","5,119,889,077"
238,I Want you back,Twice,female group,"610,283",95.1%,"38,097,000",699 days,1.915068493150685,"951,944","4,572,592","5,119,889,077"
239,TT (japanese ver),Twice,female group,"601,836",92.5%,"91,781,285",1.058 days,2.8986301369863012,"951,944","4,572,592","5,119,889,077"
240,Feel Special(dance),Twice,female group,"547,032",98.8%,"18,659,347",224 days,0.6136986301369863,"951,944","4,572,592","5,119,889,077"
241,What is Love(dance),Twice,female group,"543,020",97.0%,"42,690,377",758 days,2.0767123287671234,"951,944","4,572,592","5,119,889,077"
242,TT(dance),Twice,female group,"516,753",93.6%,"63,596,782",1.289 days,3.5315068493150683,"951,944","4,572,592","5,119,889,077"
243,Yes or Yes(dance),Twice,female group,"490,191",97.9%,"28,008,291",546 days,1.4958904109589042,"951,944","4,572,592","5,119,889,077"
244,Signal(dance),Twice,female group,"434,068",91.3%,"44,322,077",1.092 days,2.9917808219178084,"951,944","4,572,592","5,119,889,077"
245,Brand New Girl (jp),Twice,female group,"427,584",97.0%,"31,297,670",811 days,2.221917808219178,"951,944","4,572,592","5,119,889,077"
246,Likey(dance),Twice,female group,"402,532",95.5%,"37,511,923",921 days,2.5232876712328767,"951,944","4,572,592","5,119,889,077"
247,Fancy(dance),Twice,female group,"385,009",99.0%,"7,202,974",364 days,0.9972602739726028,"951,944","4,572,592","5,119,889,077"
248,Likey (jp),Twice,female group,"362,663",97.3%,"18,792,368",489 days,1.3397260273972602,"951,944","4,572,592","5,119,889,077"
249,Feel Special(dance),Twice,female group,"346,964",99.5%,"1,925,263",1 days,0.0027397260273972603,"951,944","4,572,592","5,119,889,077"
250,Like Ohh-Ahh(alternate),Twice,female group,"296,272",95.3%,"33,551,301",1.643 days,4.501369863013698,"951,944","4,572,592","5,119,889,077"
251,Agust D,AgustD,male soloist,"3,498,745",99.3%,"93,349,968",1.367 days,3.745205479452055,"2,716,678",0,"131,530,434"
252,Give it to me,AgustD,male soloist,"1,934,610",99.6%,"38,180,466",1.364 days,3.736986301369863,"2,716,678",0,"131,530,434"
253,Just Right,GOT7,male group,"3,335,285",97.7%,"317,727,721",1.767 days,4.841095890410959,"534,887","3,386,454","2,077,803,857"
254,Never Ever,GOT7,male group,"2,405,620",98.5%,"167,623,530",1.158 days,3.1726027397260275,"534,887","3,386,454","2,077,803,857"
255,Lullaby,GOT7,male group,"1,980,695",99.1%,"102,497,666",604 days,1.6547945205479453,"534,887","3,386,454","2,077,803,857"
256,If You Do,GOT7,male group,"1,837,823",98.8%,"175,944,989",1.689 days,4.627397260273972,"534,887","3,386,454","2,077,803,857"
257,You Calling My Name,GOT7,male group,"1,689,939",99.2%," 78,525,770",191 days,0.5232876712328767,"534,887","3,386,454","2,077,803,857"
258,You Are,GOT7,male group,"1,673,055",98.9%,"80,796,374",947 days,2.5945205479452054,"534,887","3,386,454","2,077,803,857"
259,Look,GOT7,male group,"1,663,078",98.9%,"84,186,913",793 days,2.1726027397260275,"534,887","3,386,454","2,077,803,857"
260,Hard Carry,GOT7,male group,"1,614,976",98.7%,"98,686,833",1.325 days,3.6301369863013697,"534,887","3,386,454","2,077,803,857"
261,Not by the moon,GOT7,male group,"1,533,958",98.8%," 35,444,345",23 days,0.06301369863013699,"534,887","3,386,454","2,077,803,857"
262,Eclipse,GOT7,male group,"1,522,628",99.1%,"51,609,599",359 days,0.9835616438356164,"534,887","3,386,454","2,077,803,857"
263,Fly,GOT7,male group,"1,144,999",98.7%,"80,777,276",1.515 days,4.1506849315068495,"534,887","3,386,454","2,077,803,857"
264,A,GOT7,male group,"1,134,604",98.5%,"110,181,815",2.152 days,5.895890410958904,"534,887","3,386,454","2,077,803,857"
265,Girls Girls Girls,GOT7,male group,"1,072,425",98.4%,"86,903,756",2.311 days,6.331506849315068,"534,887","3,386,454","2,077,803,857"
266,Miracle,GOT7,male group,"1,065,813",99.4%,"38,558,671",527 days,1.4438356164383561,"534,887","3,386,454","2,077,803,857"
267,Stop Stop it,GOT7,male group,"871,527",98.7%,"71,409,356",2.005 days,5.493150684931507,"534,887","3,386,454","2,077,803,857"
268,Teenager,GOT7,male group,"802,852",99.2%,"35,915,553",889 days,2.4356164383561643,"534,887","3,386,454","2,077,803,857"
269,My Swagger,GOT7,male group,"768,045",98.9%,"26,345,772",1.087 days,2.978082191780822,"534,887","3,386,454","2,077,803,857"
270,The New Era (jp),GOT7,male group,"729,148",99.3%,"18,402,470",738 days,2.021917808219178,"534,887","3,386,454","2,077,803,857"
271,Just Right(dance),GOT7,male group,"593,507",99.0%,"34,963,412",1.763 days,4.83013698630137,"534,887","3,386,454","2,077,803,857"
272,I won't let you go,GOT7,male group,"573,842",99.6%,"15,689,431",514 days,1.4082191780821918,"534,887","3,386,454","2,077,803,857"
273,Confession Song,GOT7,male group,"429,196",99.4%,"16,981,389",1.634 days,4.476712328767123,"534,887","3,386,454","2,077,803,857"
274,Turn Up (jp),GOT7,male group,"427,546",99.4%,"10,597,082",926 days,2.536986301369863,"534,887","3,386,454","2,077,803,857"
275,Lullaby(dance),GOT7,male group,"380,655",99.7%,"5,798,248",598 days,1.6383561643835616,"534,887","3,386,454","2,077,803,857"
276,If You Do(dance),GOT7,male group,"362,648",99.6%,"12,763,349",1.664 days,4.558904109589041,"534,887","3,386,454","2,077,803,857"
277,Confession Song(alternate),GOT7,male group,"359,552",99.4%,"19,032,933",1.629 days,4.463013698630137,"534,887","3,386,454","2,077,803,857"
278,Lullaby(alternate),GOT7,male group,"308,613",99.7%,"6,432,064",597 days,1.6356164383561644,"534,887","3,386,454","2,077,803,857"
279,Look (x adidas)(alternate),GOT7,male group,"305,730",99.6%,"5,778,774",787 days,2.1561643835616437,"534,887","3,386,454","2,077,803,857"
280,Hard Carry(dance),GOT7,male group,"299,866",99.4%,"13,664,817",1.320 days,3.6164383561643834,"534,887","3,386,454","2,077,803,857"
281,Look(dance),GOT7,male group,"296,875",99.7%,"6,452,334",776 days,2.126027397260274,"534,887","3,386,454","2,077,803,857"
282,Psycho,RedVelvet,female group,"3,284,249",98.5%,"121,168,523",142 days,0.38904109589041097,"914,736","1,376,534","1,831,177,781"
283,Bad Boy,RedVelvet,female group,"2,836,007",97.5%,"262,047,492",835 days,2.287671232876712,"914,736","1,376,534","1,831,177,781"
284,Zimzalabim,RedVelvet,female group,"2,193,623",93.7%,"72,164,452",329 days,0.9013698630136986,"914,736","1,376,534","1,831,177,781"
285,Peek-A-Boo,RedVelvet,female group,"2,015,087",97.4%,"167,162,424",908 days,2.4876712328767123,"914,736","1,376,534","1,831,177,781"
286,Power Up,RedVelvet,female group,"1,665,246",96.9%,"98,349,391",646 days,1.7698630136986302,"914,736","1,376,534","1,831,177,781"
287,Red Flavor,RedVelvet,female group,"1,624,808",96.7%,"148,449,916",1.040 days,2.8493150684931505,"914,736","1,376,534","1,831,177,781"
288,RBB (Really Bad Boy),RedVelvet,female group,"1,582,590",96.9%,"57,048,077",530 days,1.452054794520548,"914,736","1,376,534","1,831,177,781"
289,Russian Roulette,RedVelvet,female group,"1,463,055",96.7%,"170,298,060",1.345 days,3.684931506849315,"914,736","1,376,534","1,831,177,781"
290,Umpah Umpah,RedVelvet,female group,"1,449,656",97.0%,"35,776,471",268 days,0.7342465753424657,"914,736","1,376,534","1,831,177,781"
291,Dumb Dumb,RedVelvet,female group,"1,118,212",96.4%,"129,284,170",1.709 days,4.682191780821918,"914,736","1,376,534","1,831,177,781"
292,Ice Cream Cake,RedVelvet,female group,"1,087,621",96.7%,"115,249,961",1.886 days,5.167123287671233,"914,736","1,376,534","1,831,177,781"
293,Psycho(alternate),RedVelvet,female group,"1,078,881",99.0%,"43,304,073",126 days,0.3452054794520548,"914,736","1,376,534","1,831,177,781"
294,Psycho (acoustics)(alternate),RedVelvet,female group,"1,036,439",99.5%,"22,412,168",121 days,0.3315068493150685,"914,736","1,376,534","1,831,177,781"
